Joissakin järjestelmissä ( 	nordea 	) kerran käytettyä tunnusta ei voi käyttää toista kertaa , jolloin kertaalleen käytetyn tunnuksen saaminen selville ei mahdollista mitään rikosta . 
Pääpankkimme siis on Handelsbanken ja kaikki asiointi siellä paitsi tuo lokero ja siihen liittyvä automaattiveloitustili 	Nordeassa 	, 
En tiedä mitä 	Nordea 	tiedoilla tekee kun ei edes virkailija alkanut kaupata mitään vaikka kuuli omaisuutemme ja talletuksemme olevan kohtalaisen kokoisia . 
Olen samanaikaisesti asioinut 	Nordean 	, entisen Sampon , Handelsbankenin , OP : n ja Tapiolan kanssa . 
Ainoastaan 	Nordeassa 	ja H-B:ssa on jonkin tason tuttavuuksia . 
" ASIAKKAAN TALOUDELLINEN KOKONAISTILANNE ( erikseen siis tällainen kohta , jossa selvitettävä oletko esim , työtön , opiskelija , eläkeläinen , jne ) Postitse tupsahti tällainen 	Nordeasta 	, Perustietolomake-nimikkeellä , eli siis siihen sisällytettynä oli kysymyksiä asiakkaan veloista ja työtilanteesta ja mahdollisesta USA : n kansallisuudesta tai poliittisesti vaikutusvaltaisista sukulaisista tai liikekumppaneista . 
	Nordea 	lähetti kerran 90-luvulla paperisen kyselylomakkeen , jolla se yritti ovelasti saada selville varallisuuttani kysymällä kuinka monta prosenttia rahoistani oli Nordean - tai tuolloin kai Meritan - tileillä . 
Nordea lähetti kerran 90-luvulla paperisen kyselylomakkeen , jolla se yritti ovelasti saada selville varallisuuttani kysymällä kuinka monta prosenttia rahoistani oli 	Nordean 	- tai tuolloin kai Meritan - tileillä . 
Eilen oli Aamulehden netissä juttua siitä , kun joku ulkomaalaistaustainen sieppasi herneen nenäänsä noista kysymyksistä , ja syytti 	Nordeaa 	rasismista - vaikka Nordea kysyy niitä ihan samoja kysymyksiä kaikilta asiakkailtaan jossain vaiheessa . 
Eilen oli Aamulehden netissä juttua siitä , kun joku ulkomaalaistaustainen sieppasi herneen nenäänsä noista kysymyksistä , ja syytti Nordeaa rasismista - vaikka 	Nordea 	kysyy niitä ihan samoja kysymyksiä kaikilta asiakkailtaan jossain vaiheessa . 
Itse olen vastannut samankaltaiseen kysymyspatteristoon niin 	Nordeassa 	, S-pankissa kuin Nordnetissakin . 
Kuinka monta kertaa tähän samaan kyselyyn 	Nordean 	asiakkaan tulee vastata per vuosi ? 
Lisäksi vuosittain on muutama siirtotapahtuma DB : n Espanjan konttorin ja kotoisen 	Nordea 	välillä . 
ainakin 	nordealta 	tuli alku kuusta sulkeutumis kuukautena :) 
Millonkohan 	Nordealta 	tulee sellainen yhdistelmäkortti kuin Electron/Credit 
Danke Bank / Handelsbanken / 	Nordea 	, 
Menin Mannerheimintie 5 , 	Nordeaan 	ja siellä oli yrityspuolella yksi nainen , joka tiesi kaiken tarvittavan ulkomaisista shekeistä . 
Niin ja 	nordeassa 	kävin kun siellä on oma tili .. 
Kilpailutuspelissä ovat vielä mukana Osuuspankki ja 	Nordea 	, 
) ja yli 3 kertaa enemmän kuin avainasiakkaana 	Nordeassa 	, jossa hintaa kertyy 43,50 euroa . 
Kun pelkän lainan tuottamat bonukset huomioidaan , riittäisi 	Nordealta 	0.04%-yksikköä HUONOMPI marginaali kuin Osuuspankilta , jotta tarjoukset olisivat yhtä kannattavat . 
Mikäli lainan lisäksi Osuuspankissa olisi 20 000 euroa talletuksia/rahasto-osuuksia , riittäisi 	Nordealta 	sama marginaali kuin Osuuspankilta , jotta tarjoukset olisivat yhtä hyvät . 
Otappa pariasiaa huomioon Niin oletko ottanut huomioon että esim. op : n visa on kuukausimaksu pohjainen ilman vuosimaksua , kun taas 	nordean 	kortti on vuosimaksullinen ja sidottu luottorajaan . 
Itse tein asian selvittämiseksi exel-taulukon , jossa vertasin OPn ja 	Nordean 	palvelumaksuja ja muita mahdolisia lainanhoitokuluja . 
Tämän jälkeen sovin tapaamisen 	Nordeaan 	ja kerroin tilanteen . 
kaikkea en jaksanut lukea , mutta jos sinun lainasi on sidottu SAMAAN EURIBORIIN ja sinulla on samalliset mahdollisuudet muuttaa sidonnaisuutta vuosien aikana , silloin op on edullisempi ., kun tulee bonuksia ehkä hieman enemmän kuin 	Nordeassa 	on etuja . 
on sitä 	Nordeassakin 	Avainasiakas etuja , ovat aivan samaa huuhaata , laskujeni mukaan , nuo on vain niitä mainospuheita . 
	Nordea 	on suorassa suhteessa USA : n ajamaan agressiiviseen ulkopolitiikkan , jonka historia tulee tuomitsemaan . 
	Nordea 	syö rotan lailla suomelle edullista kauppaa , laittamalla sanktioita , aivan sekundaarisesti , venäläiselle bisnes yhteistyölle . 
	Nordea 	onkin tanskalaisten omistama juutalais pankki . 
	Nordea 	noudattaa USAn pakotteita , mikä on kauhistus meikämannelle . 
pdf Tuossa on 	nordean 	sivulta löytyvä vastaus , joka tukee omaani . 
	nordean 	sivulla oli vielä se , että kannattaa ottaa heti yhteys pankkiin kun kuolemantapaus tulee . 
Siis 	Nordea 	( ole oma pankkini ) ja Finanssivalvonnan sivuilla on se sama mitä tuolla sanoin . 
Unohdin sanoa , että 	Nordea 	on jenkkien kätyripankki . 
En tiedä saako 	Nordeasta 	Visa Debittiä online-korttina , voi olla että ei koska heillä on Visa Electron-kortti joka siis vastaisi täysin online-Visa Debittiä , sen sijaan S-pankilla ei ole Visa Electronia , ja siellä voikin tilata halutessaan Visa Debitin online-korttina , oletusarvoisestihan S-pankin Visa Debit-kortti tulee offline-korttina . 
Yritin siirtää S-pankissa olevalta tililtäni noin 25 euron summaa 	Nordeaan 	, 
Eipä auennut ainakaan 	Nordean 	verkkopankissa mitään erillistä varainsiirtolomaketta . 
Soitto 	Nordean 	puhelinpalveluun : Pankitoimihenkilöiltä on kielletty tutkimasta kenenkään luottotietoja ilman lainanhakijan suostumusta . 
Tietenkin uusien palveluiden avaamisen yhteydessä tilanne aina tsekataan , mutta ei se 	nordeaa 	haittaa jos asiakas on perseellään ettei uutta luottoa myönnä . 
Kun eLasku tulee mihin tahansa verkkopankkiin , niin siellähän on se " paperilasku " mukana esim. 	Nordeassa 	ns. Laskuttajan erittely kohdassa . 
S-pankin Visa laskussa on summaa koskeavat tiedot : Luottoraja 1 000,00 Käyttövara 700,00 Kuukausierä 300,00 ( jos on sopinut , että maksaa 100 % aina ) 60,00 ( jos on sopinut 20 % maksuerästä ) Myös 	Nordean 	MC maksu tulee aina elaskuna sillä minimi 20% lyhennyksellä , jonka muutan itse 100 % maksuksi . 
	Nordea 	nostaa Nordea maksuautomaatin ja maksupalvelun hintoja . 
Nordea nostaa 	Nordea 	maksuautomaatin ja maksupalvelun hintoja . 
Miksei 	Nordea 	voi näyttää tilien korot verkkopankkissa ? 
mitä 	nordean 	sivuilta ne löytyy . 
käyttötili 0,15% kasvutili alkaen 1 , 5% muidenkin tilien tiedot löytyy 	nordean 	sivuilta , ei nettipankista . 
Sanoisitko vielä , mistä 	Nordean 	sivuilta löytyy määräaikaistalletusten korot ? 
Jos rahat ovat toisessa pankissa , vaikkapa 	Nordeassa 	, ne saa Evlin tilille saman istunnon aikana samalla tekniikalla kuin verkko-ostokset kauppoihin maksetaan ja voi silloinkin heti tehdä sen talletuksen . 
Arvattavasti 	Nordea 	ei haluaa antaa tällaista palvelua sen vuoksi , että heidän korkotarjouksensa ovat matalammat . 
Edellä mainituista palveluista 	nordea 	perii VIIDEN euron kuukausittaiset kulut . 
lähetin sen lapun kun laitoin 	Nordeaan 	viestin että lähettävät kirjekuoren minulle ... 
ja 	Nordea 	) jotka kylältä löytyy ? 
Kuinka kauan menee , ennen kuin 	Nordea 	lähettää kotiin huomautuskirjeen ( hinta 10 euroa ) ? 
Näin nimenomaan 	Nordealla 	, 
Mistä nään 	nordean 	pankin sivuilla tilausnumeron jostain ostamastani tuotteesta ? 
Siis tässä tapauksessa 	nordean 	sijoitusneuvoja suositteli 82 vuotiaalle rahastosijoituksia . 
Kuinka hyvin olet perehtynyt 	Nordean 	maksullisten sijoituspalveluiden valikoimaan ? 
Olin aiemmin 	Nordean 	asiakas , asiakkuus siirtyi OP:iin , Nordeassa edelleen sijoitusasiat , palkkatili ja asuntolaina sekä pikkuisia rahastoasiointeja OP:ssa . 
Olin aiemmin Nordean asiakas , asiakkuus siirtyi OP:iin , 	Nordeassa 	edelleen sijoitusasiat , palkkatili ja asuntolaina sekä pikkuisia rahastoasiointeja OP:ssa . 
	Nordean 	avainasiakkaana maksan päivittäisasioinneistani enemmän , ja se veloitetaan tililtä eli siis oikeasti maksan sen . 
Siihen aikaan uusi S-pankki esim. lykkäs samantien kuvailemani normi debit-kortin kouraan kun sinne osuusmaksuni maksoin ja aikanaan sitten tajusin 	Nordeassakin 	piipahtaa . 
Kaveri teki luottotietojen tarkistuksen , anto valtakirjan palkanmaksun siirtoon 	nordeaan 	ja lähetti sen mun työpaikalle . 
Ekan kerran maksan palvelumaksuja mistään 	nordeaan 	vuonna 2018 nykyhinaston mukaan . 
Heti kun valmistun ja pääsen työelämään kiinni , niin vaihtuu 	Nordeaan 	sillä sekunnilla . 
Kokeilin 	Nordeaakin 	, ja Säästöpankkia , mutta suljin ne tilit aika pian . 
Noh haistatin pitkän vi**n koko pankille ja nyt tili 	Nordeassa 	, 
joku joka tietää jotain näistä pankkien siirtoajoita ja kestoista niin neuvokaa hieman : eilen illalla joskus 18-19 välillä on ystäväni laittanut 	nordean 	tililtä tulemaan rahaa minun osuuspankin tililleni niin onko mitään mahkuja että raha näkyisi jo tänään ? 
Kunen ole 	Nordean 	/ Ossuuspankin asioita hoitamassa , niinen tiijä tarkemmin . 
Mahtolliset karikkopaikat lyhyesti : 1 ) Kaveri ei pannukkaan 2 ) Kaverin nettiyhteys ei toiminukkaan 3 ) 	Nordea 	sössi jotain 4 ) Se paikka minkä kautta ne rahnat kiertää sössi jotain 5 ) Ossuuspanki sössi jotain Take your Pick . 
Oman kokemuksen mukaan 	nordeasta 	lähtee n. 18.30 viimeisen kerran rahaa ulos . 
Ystäväsi maksu ei todennäköisesti ehtinyt enää 	Nordean 	päivän käsittelyyn , vaan lähtee vasta tänään ja on huomenna varhain aamulla tililläsi . 
S-Pankin verkkopankissa tuo raja on muistaakseni 21.30 , 	Nordealla 	paljon aikaisempi ja Danske Bankilla muistaakseni tosi myöhäinen . 
Eli ennen klo 18 arkena 	Nordeasta 	laitettu pitäisi näkyä seuraavana päivänä toisen ( esim op ) pankin tilillä . 
Esimerkkejä : 	Nordea 	- &gt ; S-Pankki yksi pankkipäivä S-Pankki - &gt ; Nordea yksi pankkipäivä Sampo Pankki - &gt ; S-Pankki yksi pankkipäivä S-Pankki - &gt ; Sampo Pankki yksi pankkipäivä Nuo ovat omia kokemuksia . 
Esimerkkejä : Nordea - &gt ; S-Pankki yksi pankkipäivä S-Pankki - &gt ; 	Nordea 	yksi pankkipäivä Sampo Pankki - &gt ; S-Pankki yksi pankkipäivä S-Pankki - &gt ; Sampo Pankki yksi pankkipäivä Nuo ovat omia kokemuksia . 
	Nordean 	ja Sampo Pankin välillä ovat siirrot vaatineet yhden vuorokauden kumpaankin suuntaan . 
Omat kokemukseni ovat S-Pankki , Tapiola Pankki , 	Nordea 	ja Sampo . 
	Nordeasta 	S-Pankkiin ja toisinpäin menee kaksi pankkipäivää . 
Onko käteisen tallettamiselle tilille 	Nordeassa 	jotakin aikoja milloin sen voi tehdä ? 
No emmie voi tietää ettei nua 	nordealaiset 	osaa linkkejä tehä . :) 
Täsä seleko-Suomella 	Nordea 	henkilö- ja yritysasiakkaat Neuvontapalvelua ja kassapalvelua Kirkkokatu 7 48100 Kotka Henkilöasiakkaat 0200 3000 , ma-pe klo 8-20 ( pvm/mpm* ) 
Katso 	Nordean 	sivuilta niin tiedät sinäkin missä mennään !!! 
Jonotin ensin 80 min 	Nordean 	pankissa vuoroani . 
Voit myös tallettaa ne rahat s-pankin toimipisteissä s-tilille , jos sinulla sellainen on ja siirtää ne sieltä omalle tilillesi 	nordeaan 	, 
Mitäs jos kaikki 	Nordealaiset 	hakis kaikki säästönsä pois pankista ? 
ainakin jyväskylän 	nordeassa 	voi tallettaa rahaa kassapalveluissa ihan normaalisti pankin aukioloaikoina . 
	Nordean 	hallituksen puheenjohtaja sitä mieltä että tavikset on pankkia varten eikä päinvastoin ...... 
Tytär löysi kerran 	Nordean 	pankkikortin ja vei sen pankin konttoriin . 
Tytöllä olis pitänyt olla 	Nordeassa 	tili , jonne löytöpalkkio olisi maksettu , muuten sitä ei saanut .. 
Eipä tee mieli enää toimia samoin , jos kyseessä on 	Nordea 	, 
	Nordealla 	tulee uudet avainluvut liiankin aikaisin , edellisiä lukuja vielä kymmeniä käyttämättä ja kuukausi aikaa ennen kuin vanhenevat . 
Olen itse siirtänyt esim. 	Nordeasta 	euroja Sveitsiin UBS : n frangimääräiselle tilille ja rahat ovat ilmestyneet sinne frangeina muutamassa päivässä . 
Minulta vanhalta tädiltä kyseltiin tänään 	Nordeassa 	1500 euron alkuperää kun talletin rahaa tililleni , jota olen käyttänyt jo 30 vuotta , tosin vähän viime aikoina . 
Ja tilinhoitomaksukin taisi olla sekä OP:llä , että 	Nordealla 	( mastercard ) 4e/kk . 
Netti- ja ulkomaanostot olen tehnyt tähänkin asti 	Nordean 	MC:llä , joten meikäläiselle tuo uusi hinnasto ei tuo mitään uutta . 
omistaa vain OP , DANSKE ja 	Nordea 	, 
Itse en maksaisi 	Nordeassa 	mitään palvelumaksuja , jos vaihtaisin perussalkun starttisalkkuun . 
	Nordealla 	tällaista maksua ei peritä , ja " maksuton " s-pankki on täten kiilannut hinnoissa monen muun edelle . 
Niitä löytyy nykyisin ainakin 	Nordean 	ja OP : n valikoimista . 
Tuossa mm. 	Nordeassa 	juuri sanoivat että kaksimiljoonaa euroa on niin vähän , ettei esim. sitä varten kannata avata valuuttatiliä . 
Oma neuvoskelijani tarjosi minulle jokunen kuukausi sitten 	Nordean 	uusia tuotteita MALTTIA ja TASAPAINOA . 
Eikös POP fuusioitu Siinä meni sypit , hopit ja muutkin Meritaan ja sittemmin 	Nordeaan 	, 
	Nordean 	ennusteen mukaan koroissa ei tapahdu mitään muutosta vuoden 2012 aikana " nimimerkki suuri asuntovelkainen " 
Lainoista yleensä joku ryhmä käyttää vähimmäiskorkoja ja uusi ilmoitus parilta pankilta , että asikas ei voi käyttää 3 kk euriboria lainassa ompahan touhua taas ja kansa maksaa kiltisti , mutta 	Nordeassa 	ja Sammossa voi valita vielä korkosidonnaisuuden onneksi . 
Korkokate valuu taas alaspäin sillä 	Nordea 	odottaa EKP:lta torstaina 02.08.2012 koronlaskua 0 , 5 % : n !!!! 
	Nordea 	näytti ennustavan , että 12 kk : n eb voi laskea jopa 0 , 5 % joten pankkipalvelut voi kohta olla historiaa ( jos konttorissa ei asiakkaita ja tilat upeat ) 
	Nordea 	myönsi minulle henkilökohtaisen special credit cardin , jollaisia myönnetään vain varakkaammille asiakkaille . 
En ole koskaan ollut 	Nordean 	asiakas , kävin siellä vain hoitamassa sukulaiseni asioita kun olin hänen edunvalvojansa . 
Stokkan kanta-asiakaskortti muuttui 	Nordean 	Master-Cardiksi ja semmonen mulla on vaikkemmä paloa Stokmannilta ostele . 
Tämä tapahtui Tampereen 	Nordeassa 	, 
sed Person ) ovat hyvin selkeitä ja löytyvät kaikki tästä 	Nordean 	dokumentista : https://www.nordnet.fi/pdf/fi/pep.pdf Yksi kirjoittaja siis väittää että häneltä on kysytty ovatko hänen sukulaisensa ulkomailla jonkun poliittisen puolueen jäseniä , kun oikeasti on kysytty ovatko he poliittisesti vaikutusvaltaisessa asemassa . 
Maininta ohjeistuksessa " Täyttämällä lomakkeen autatte 	Nordeaa 	kantamaan yhteiskuntavastuunsa ja lakivelvoitteensa . 
" Asiakkaina oltu todella erittäin kauan 	Nordeassa 	siksi ihmetyttää . 
Niin se 	Nordeallakin 	Vein Nordean konttoriin kasan rahaa . 
Niin se Nordeallakin Vein 	Nordean 	konttoriin kasan rahaa . 
	Nordea 	panttasi mun määräaikais talletusta ja siitä tuli 350 euroa korkotappiota . 
muitakin kirjoittajia kuin minä , yks haukkuu Sampoa , yks 	Nordeaa 	, joku jotain muuta ja minä S-pankkia ! 
Luottaisin esim. Sampoon , 	Nordeaan 	ja Nooa-pankkiin . 
Liikepankkien , kuten vaikkapa Danske Bankin tai 	Nordean 	, tehtävä on tuottaa osakkeenomistajilleen tuottoa . 
Osuuspankin ja 	Nordean 	lukuparit ei sisällä kirjaimia . 
	Nordealla 	ne on 1-100 ja jokaista vastaa nelinumeroinen luku . 
	Nordean 	onneton salasana Nordeassa on kaiken oudoin juttu . 
Nordean onneton salasana 	Nordeassa 	on kaiken oudoin juttu . 
	Nordean 	turva on ihan perseestä . 
" On tilanteita , joissa prosessi Sampo Pankin päässä kestää nyt hyvin pitkään " , 	Nordean 	yksityisasiakkaista vastaava johtaja Jussi Mekkonen vahvistaa . 
Kannattaa hakea OP / Säästöpankki / 	Nordea 	linjalle , joku noista tärppää . 
Olen vaihtamassa 	Nordeasta 	pois . 
Itse vaihdoin juuri POPista 	Nordeaan 	koska koen sen vastaavan parhaiten nykyiseen tilanteeseeni . 
Minulla on saman aikaisia kokemuksia paikkakuntamme OP : n , H-B : n , Sampon , 	Nordean 	ja Tapiolan konttoreista . 
Paikallisessa 	Nordeassa 	on kaikki luistanut kuin virtsa lautaa pitkin . 
	Nordealla 	pakkopaketit eli maksat kaikesta jos ei ole riittävästi lainaa tai massia . 
Minäkin ajattelin siirtyä pois 	Nordealta 	, 
No 	Nordea 	eväsi minulta lainan koska rekisterissä näkyi häiriöitä kuukausimaksujen osalta . 
	Nordea 	ilmoittaa : " Ensimmäiset verkkopankkitunnukset saa myös konttoristamme . 
Juuri 	Nordeahan 	haluaa eroon " tavallisista asiakkaista " , kun tulevat sotkemaan hienot pankkisalit :) 
Samanaikaiset kokemukset 	Nordeasta 	, OP:sta , Tapiolasta , Handelsbankenista ja Sammosta . 
Oleellinen pointti ei ylempänä ollut etteikö ko. tietoa 	Nordean 	sivuilta löytyisi kun riittävästi kahlaa eri sivuja ja valikkoita lävitse . 
Mikäli 	Nordea 	olisi tehnyt asian selkeästi ja fiksusti , niin valikon " uusi maksu " namiskan takana tai suoraan sen yhteydessä olisi linkillineseti tuo sama termi , joka veisi suoraan selvitykseen sen merkityksestä ilman , että pitää alkaa käyttää turhauttavan paljon aikaa ko. tiedon hakemiseen . 
	Nordean 	sivulla on muuten runsaasti eri infoissa vain maininta mistä jokin vaikkapa tieto " x " löytyy . 
Maksoin tänään 	Nordean 	tililtäni normaalilla " uusi maksu " toiminnolla ES- - - tilille haluamani summan . 
	Nordea 	, laittakaa sinne verkkopankkiin viesti " EU-maksut uusi maksu-toiminnolla " , niin säästätte monen maksajan ylimääräiseltä vaivalta ! 
Pikkasen voisi 	Nordea 	ajatella asioita , jos haluaa ensikertalaisenkin osaavan näitä ulkomaan maksujuttuja . 
ONKO KELLÄÄN KOKEMUSTA että miten kauan kestää kun 	Nordean 	kautta siirretyt rahat on vastapuolella Saksassa ? 
Minullepa kävi niin , että maksoin Saksaan ulkomaanmaksuna 	Nordean 	tililtäni virheellisesti laskun . 
Tätä en tajunnut 	Nordean 	sivuilta lukea kun luulin , että ulkomaanmaksu on ulkomaanmaksu ja Saksa on ulkomaa . 
Missään vaiheessa 	Nordean 	ohjelma ei herjannut mitään . 
	Nordea 	oli veloittanut sen tililtäni ilman , että siitä oli missään mitään tietoa , ei siis erääntyvissä , eikä missään . 
Soitin 	Nordeaan 	, 
He lupasivat selvittää asian ja tehdä itse itsestänsä reklamaation 	Nordeaan 	:D 
Tästä minä joudun maksamaan vielä 25 euroa päälle 	Nordealle 	selvityskuluja kun he yrittävät saada rahojani palautumaan . 
Maksan paitsi tyhmyydestäni , niin vieläpä siitä , että 	Nordean 	ohjelma EI HERJANNUT , vaikka olisi pitänyt . 
Markkina luovutettu 	Nordealle 	ja osuuspankkilaisille . 
Isommat menee 	Nordealle 	/ Handelsbankenille . 
Korot laskevat negatiiviseksi - KL : 	Nordea 	muutti ehtojaan niin , että asiakas ei pääse hyötymään Talouselämä 08:30 päivitetty 08:30 Jaa inShare0 Markkinakorot ovat kääntymässä negatiivisiksi - mutta ainakaan Nordean asiakas ei pääse tästä nauttimaan , kirjoittaa Kauppalehti . 
Korot laskevat negatiiviseksi - KL : Nordea muutti ehtojaan niin , että asiakas ei pääse hyötymään Talouselämä 08:30 päivitetty 08:30 Jaa inShare0 Markkinakorot ovat kääntymässä negatiivisiksi - mutta ainakaan 	Nordean 	asiakas ei pääse tästä nauttimaan , kirjoittaa Kauppalehti . 
Kauppalehti kertoo , että 	Nordea 	päivitti lainaehtonsa joulukuussa 2012 . 
Kuitenkin niin , että kokonaiskorko ei voi mennä nollan alapuolelle , " sanoo Kauppalehdelle 	Nordean 	henkilöasiakkaista vastaava johtaja Nina Luomanen . 
Tilaa uutiskirje Asuntolainaa ei myöskään voi enää 	Nordeassa 	kytkeä yhden kuukauden viitekorkoon . 
Laitettiin eilen siis 	nordeasta 	( toiselle Nordean tilille ) tilisiirto , joten kuinka kauan suunnilleen kestää että rahat ovat kyseisen henkilön tilillä ? 
Laitettiin eilen siis nordeasta ( toiselle 	Nordean 	tilille ) tilisiirto , joten kuinka kauan suunnilleen kestää että rahat ovat kyseisen henkilön tilillä ? 
	Nordea 	- &gt ; Nordea pitäisi mennä saman tien . 
Nordea - &gt ; 	Nordea 	pitäisi mennä saman tien . 
	Nordeassa 	2011 ja vanhemmat lainat , kokonaiskorko voi menna nollaan mutta ei alle sen . 
Oma pankkini on lähes 5 viikkoa sitten pyytänyt valtakirjalla 	Nordeaa 	lopettamaan kuolleen henkilön tilin . 
Tili on 	Nordean 	mukaan lopetettu yli 2 viikkoa sitten , mutta rahoja ei näy minun tilillä vieläkään . 
	Nordeasta 	on vain luvattu selvittää asia ja että ottavat yhteyttä pankkiini . 
	Nordea 	saa ilmeisesti korot itselleen tältä ajalta , koska Nordean tili on ollut lopetettuna jo 2 viikkoa ja tiedä kuinka kauan vielä kestää rahojen tulo , vai tuleeko niitä ollenkaan . 
Nordea saa ilmeisesti korot itselleen tältä ajalta , koska 	Nordean 	tili on ollut lopetettuna jo 2 viikkoa ja tiedä kuinka kauan vielä kestää rahojen tulo , vai tuleeko niitä ollenkaan . 
Joko tilinumero on väärin , jolloin rahat on palautuneet 	Nordeaan 	ja ovat jossain keräilytilillä tai sitten rahat on omassa pankissasi ja et niitä sieltä saa kun et ole oikeutettu niitä saamaan . 
Sen jälkeen pankistani on soitettu 	Nordeaan 	jo kaksi kertaa , jolloin ovat aina luvanneet selvittää asian ja soittaa takaisin . 
Nyt vika on joko sun " oman pankin tädissä " tai vastaavasti 	Nordeassa 	, 
Jos aikaa on kulunut jo 3 viikkoa , niin eikö sulle ole tullut mielenkään joko käydä 	nordeassa 	itse , tai pyytää tätä " oman pankin uskottua tätiä " todella asian hoitamaan . 
Oletko toimittanut 	Nordeaan 	perukirjan , sekä katkeamattoman virkatodistusketun 15-ikävuodesta kuolinpäivään ? 
Jos taas on , niin itse menisin 	nordeaan 	suht vihaisella asenteella ! 
Rahat lopetetulta 	Nordean 	kuolinpesän tililtä omille tileille Annoimme perunkirjoituksen Nordeaan 12 syyskuuta 2010 ja tili lopettiin ja nyt on 3 lokakuuta 2010 . 
Rahat lopetetulta Nordean kuolinpesän tililtä omille tileille Annoimme perunkirjoituksen 	Nordeaan 	12 syyskuuta 2010 ja tili lopettiin ja nyt on 3 lokakuuta 2010 . 
	Nordea 	saanoo että heidän täytyy tarkastella ... 
	Nordea 	käyttävää äitimme ja nyt meidän varojamme pankissa . 
Hyvät ihmiset siirtäkää rahojanne 	Nordeasta 	toisiin pankkeihin . 
Tässä toimintamalli , joka saa saa 	Nordeaan 	vauhtia : 1. Varmista vielä kerran , että olet varmasti toimittanut kaikki Nordean kotisivuilta löytyvässä ohjeessa vaaditut dokumenit . 
Tässä toimintamalli , joka saa saa Nordeaan vauhtia : 1. Varmista vielä kerran , että olet varmasti toimittanut kaikki 	Nordean 	kotisivuilta löytyvässä ohjeessa vaaditut dokumenit . 
2. Tee tutkintapyyntö tai rikosilmoitus poliisille kavalluksesta 	Nordean 	asiaa hoitavat pankkitoimihenkilöt nimeten . 
Ehdottaisin , että marssit lähimpään 	Nordean 	konttoriin ja istua tatitat siellä niin kauan , että asia tulee hoidettua . 
Helsingistä DanskeBank & OP on tuollaisia omille asiakkaileen , 	Nordealla 	jossakin ei realiaikainen automaatti talletuksiin . 
TalletusOTTO kotisivu : http://otto.fi/talletus/ Missä sijaitsee : http://otto.fi/missa-talletus/ Eräs Rykäelmä Helsinki C : n vieressä 	Nordea 	/ OP / Danske . 
mut onko se 	nordean 	prismassa ? 
ANNEN EN OLE NÄHNYT KOKO JOHTAJAA NYKYÄÄN 	NORDEAN 	PRIVATESSA . 
toimii mulla ainakin toimii 	nordean 	visa electron mainiosti . 
	nordealla 	ei ainakaan korttia hyväksytä , jos verkkokäyttö on pois päältä . 
laitoin sen kolminumeroisen luvun joka 	nordean 	visa electron-kortissa on voimassaoloajan vieressä , ja heti toimi ! 
VISA-ELECTRON 	NORDEA 	1.kirjaudu nordean verkkopankkiin , tarvitset tunnuksia ja niitä saat pankkikontorista ! 
VISA-ELECTRON NORDEA 1.kirjaudu 	nordean 	verkkopankkiin , tarvitset tunnuksia ja niitä saat pankkikontorista ! 
Sen jälkeen yritin 	Nordean 	visa electronia ja sama teksti . 
.... Onko pankkisi 	Nordea 	? 
	Nordea 	ei vastaa posteihin . 
S-pankissa ei tarvi vaihtaa itse listää , S-pankin verkkopankki pyytää itse siirtymään uuteen listaan ja 	nordea 	toimittaaa uuden listan automaattisesti ja siinä on päivä jolloin se on automaattisesti käytössä . 
	Nordealla 	ne on vielä järjestyksessä ja arvaas mikä duuni siinä o ku menet yliviivaamaan väärän luvun ja et saakaan sitten sitä listaa takaisin järjestykseen . 
	Nordealla 	syötät vain sopimuksessa saamasi asiakasnumeron ja avainlukulistassa olevan ensimmäisen järjestyksessä vapaan avainluvun . 
	Nordealla 	se vaituu automaattisesti päivänmukaan , mikä on merkitty listaan . 
Koska Osuuspankin ainoa tarkoitus on saada asiakkaan verenpaine nousemaan , ja koska jo muutenkin syön verenpainelääkkeitä näen ainoaksi ratkaisuksi kävellä joulun jälkeen 	Nordeaan 	kysymään , että kiinnostaako niitä siirtää asuntolainani sinne . 
http://www.uusisuomi.fi/raha/71994-nordea-hurjassa-venaja-huhumyllyssa-ei-pida-paikkaansa Jos 	Nordealle 	tulisi oikeasti ongelmia , sillä talletussuojalla saat pyyhkiä p**settä . 
Niin kauan kuin Ruotsin ja Suomen valtioilla on jonkunlaiset mahdollisuudet saada jostain lisää lainaa , 	Nordeaa 	ei päästetä nurin . 
	Nordean 	Venäjä-riskit on mitättömän pienet suhteessa pankin kokoon . 
Taitaa 	Nordea 	maksaa vaatimatonta korvausta siitä , että käyt konttorissa pyörittelemässä kynää ja nyt on pelko suuri , että loppuu pian se vähäinenkin tulo . 
	Nordea 	mobiilipankki - Suomi ( Nordea Bank AB ) Android-sovellus pyytää käyttöoikeuksina mm. Kamera/mikrofoni * ota kuvia ja videoita Mitä varten ? 
Nordea mobiilipankki - Suomi ( 	Nordea 	Bank AB ) Android-sovellus pyytää käyttöoikeuksina mm. Kamera/mikrofoni * ota kuvia ja videoita Mitä varten ? 
Näin on ainakin ollut Sampopankin , 	Nordean 	ja Tapiola Pankin osalta . 
osuuspankki , 	nordea 	ja sampo , niissä pankeissa menee vain päivä . 
itsellä on 	nordean 	pankki ja lähetin rahaa mutta rahansiirto maksoi 17 euroa , olisiko kenties western union halvempi ? 
" Pohjoismainen pankkikonserni 	Nordea 	karsii konttoreiden kassapalveluita raskaalla kädellä . 
